N,P,K,temperature,humidity,ph,rainfall,label
87.45071229516849,46.340828385945784,45.18150830480554,28.069089569224076,80.82923312638331,6.406345217220328,293.16851262029564,rice
91.51152093729362,42.366307368780575,44.34048034868772,22.109746921562614,79.67135123214871,6.596784908626414,153.46879021368807,rice
54.12623251230451,41.25254964910833,31.89735103732461,24.44274199778582,77.45987962239394,5.9350785194658835,288.62595075686215,rice
76.61335549270197,48.81033845625509,28.602014510292346,21.86685182642445,82.55461294854933,6.039602569031079,245.02792073382687,rice
70.99041965121792,44.49967500248068,35.186347102164824,29.056834553526812,81.93251387631032,6.07691562841764,262.90179648412754,rice
61.68734525043467,50.50636314005706,24.322639008961794,19.515441853304708,82.98430617934562,6.795386631998165,236.8547312475988,rice
78.2652757641764,44.386755652928535,28.17182407706058,21.340467374815873,79.69680614520107,6.9228488904875665,243.74473158273847,rice
53.554397669558995,51.88900763273754,36.91934175666947,21.469233999082125,85.05838144420434,6.91239980899838,267.2512047646479,rice
67.41173715166042,44.28945148978543,42.650107451228514,26.426635381367078,79.60412881077355,6.4257364093344735,185.74660103975887,rice
62.05690063878994,57.750309868730376,50.84992022856658,23.283969635258998,87.01766448946012,6.644654410019053,204.19520981579504,rice
85.4209340826262,66.45643879759163,39.713391687120385,28.193930967442018,68.90127447955128,6.82876100175009,233.48188272952686,rice
75.51488974301199,49.101129318426025,24.099448683192858,22.840984336487463,83.78556285755873,7.091157617896607,209.2691912690541,rice
67.87259595660218,41.97891547698556,47.32321694161659,24.486253328979053,79.3511989811648,6.705306973245342,233.8831019739216,rice
94.52967485799334,39.575362873471775,37.37870282721786,22.323675540603528,74.68242525933941,6.61844811082583,240.44221088719559,rice
80.07670184963692,45.18495439949824,28.677034063596686,22.238064031703924,80.28642741736616,6.179089092311353,223.54857153335962,rice
86.06076285221808,70.63423081452636,41.396622502654715,24.272651172168292,81.62777042116916,5.732491513880383,228.93944498203132,rice
80.90345314911539,77.55890534982343,38.46111228175102,24.404642027000836,81.82644115147379,6.032528784952187,275.7129125806008,rice
91.27899549030161,57.49238336451656,32.724900361642085,27.7083829328083,74.9907446860386,6.734742837520108,317.61822503239915,rice
65.14195512303968,41.204427244766734,40.79721092070113,21.989573037651404,74.24668284466934,6.527425189922411,187.5078514509558,rice
87.10388645952773,36.96690918919436,52.39947524014032,21.15024012299129,80.38969241897162,6.825406886947868,180.7654273426418,rice
83.41189901906193,63.685713051389136,27.14013412351018,24.053901575596914,83.29941397124212,6.8127291487109245,180.5219715648767,rice
60.193150803735854,54.263298787402775,42.375877385865486,24.25147855103763,83.73224104748488,6.227990111368603,239.29014788644014,rice
